Day - Draw, Date, Pick 3, Pick 4, Pick 5, Classic Lotto, Kicker, Rolling Cash 5, Mega Millions, Powerball, Lucky For Life
MON - EVE, 4/13/2020, 407, 7963, 16004, 1 8 11 17 26 48 $12.10 M/0, 618013, 2 8 12 14 33 $120000.00, , ,1 37 39 43 45 +170
TUE - MID, 4/14/2020, 998, 9839, 49733, , , , , ,
TUE - EVE, 4/14/2020, 377, 9113, 55470, , , 12 23 26 28 30 $130000.00, 29 47 65 69 70 +7 x4 $145.00 M/0, ,
WED - MID, 4/15/2020, 092, 6349, 06953, , , , , ,
WED - EVE, 4/15/2020, 081, 2720, 87678, 4 5 10 21 27 43 $12.20 M/0, 831267, 2 7 31 33 38 $140000.00, , 10 12 33 36 41 +2 x3 $22.00 M/0,
THU - MID, 4/16/2020, 201, 4809, 95003, , , , , ,
THU - EVE, 4/16/2020, 420, 4761, 07693, , , 1 7 8 30 35 $150000.00, , ,6 8 20 28 43 +150
FRI - MID, 4/17/2020, 631, 6384, 44568, , , , , ,
FRI - EVE, 4/17/2020, 530, 9036, 05064, , , 3 6 16 21 32 $100000.00, 13 35 39 46 55 +14 x4 $159.00 M/0, ,
SAT - MID, 4/18/2020, 437, 6346, 12300, , , , , ,
SAT - EVE, 4/18/2020, 239, 9862, 86771, 18 20 32 34 45 46 $12.30 M/0, 562080, 9 13 21 26 37 $100000.00, , 4 44 46 56 63 +19 x2 $24.00 M/0,
SUN - MID, 4/19/2020, 602, 3139, 63038, , , , , ,
SUN - EVE, 4/19/2020, 563, 1055, 48732, , , 2 6 7 9 20 $110000.00, , ,
MON - MID, 4/20/2020, 059, 5021, 46066, , , , , ,
MON - EVE, 4/20/2020, 137, 2363, 25994, 6 8 12 21 24 38 $12.40 M/0, 347253, 11 19 31 32 37 $100000.00, , ,1 3 6 34 45 +120
TUE - MID, 4/21/2020, 260, 9912, 51577, , , , , ,
TUE - EVE, 4/21/2020, 456, 4999, 31916, , , 4 7 14 28 34 $110000.00, 13 15 24 67 70 +17 x2 $164.00 M/0, ,
WED - MID, 4/22/2020, 311, 2035, 63541, , , , , ,
WED - EVE, 4/22/2020, 121, 8474, 68753, 23 31 35 38 44 49 $12.50 M/0, 191192, 5 21 28 34 36 $100000.00, , 1 33 35 40 69 +24 x5 $29.00 M/0,
THU - MID, 4/23/2020, 175, 4588, 84858, , , , , ,
THU - EVE, 4/23/2020, 042, 7046, 13154, , , 3 10 22 34 37 $110000.00, , ,5 31 38 41 45 +10
